feature	importance
d__Eukaryota;p__Cryptophyceae;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadales;g__Hemiselmis;__	0.0006858694120384669
d__Eukaryota;p__MAST-3;c__MAST-3B;o__MAST-3B;f__MAST-3B;g__MAST-3B;__	0.0006642626578766875
d__Eukaryota;p__MAST-1;c__MAST-1A;o__MAST-1A;f__MAST-1A;g__MAST-1A;s__uncultured_marine	0.000660569988005766
d__Eukaryota;p__Bicosoecida;c__Bicosoecida;o__Bicosoecida;f__Bicosoecida;g__Pseudobodo;__	0.0006408761086960093
d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Synurales;f__Synurales;__;__	0.0006407408051785695
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellales;g__Bathycoccus;__	0.000630094404675907
d__Eukaryota;p__Prymnesiophyceae;c__Prymnesiophyceae;o__Prymnesiales;f__Prymnesiales;g__OLI16029;__	0.0006194230420093463
d__Eukaryota;p__Cercozoa;c__Thecofilosea;o__Thecofilosea;f__Thecofilosea;__;__	0.000619038747447314
d__Eukaryota;p__Holozoa;c__Choanoflagellida;o__Clade_L;f__Clade_L;g__Clade_L;__	0.0006092489213704423
d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;__;__;__;__	0.0006085234117698374
d__Eukaryota;__;__;__;__;__;__	0.000608046208518466
d__Eukaryota;p__Chlorophyta;c__Chlorodendrophyceae;o__Chlorodendrales;f__Chlorodendrales;g__Tetraselmis;__	0.0006061614550789412
d__Eukaryota;p__Picozoa;c__Picomonadida;o__Picomonadida;f__Picomonadida;g__Picomonadida;__	0.0005971934408471825
d__Eukaryota;p__Protalveolata;c__Syndiniales;o__Syndiniales;f__Syndiniales;g__Amoebophrya;__	0.000595037039221575
d__Eukaryota;p__Cryptophyceae;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadales;g__Teleaulax;s__uncultured_eukaryote	0.0005611997632744443
d__Eukaryota;p__Pav3;c__Pav3;o__Pav3;f__Pav3;g__Pav3;s__uncultured_eukaryote	0.0005529836637231273
