Feature ID	Taxon	Consensus
00633ba7d88cf91fe79ab677c523da9e	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_bacterium	0.6
006340797369c3b10426fd3b7923c2d3	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Puniceicoccaceae	1.0
00639b7f8bfa5c28069685fce0fde69c	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia	0.9
00642b202749e0fba957a3fd02759391	Unassigned	1.0
0064f28b99a6b969c8196367c02a202d	d__Eukaryota	1.0
006598fac85a44b80ad7e7a0057e9699	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_alveolate	1.0
006661f2d333a2a5a3f9deb9f4c7cec3	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium	0.8
00668a6e630bfeb75c2c5a89bb02809d	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote	0.6
00676c9afa1d8f2274f2584976363f2f	Unassigned	1.0
00676db59f665b7f6fea93688418dfc9	Unassigned	1.0
006818020a1658d300ca5440480e9eba	Unassigned	1.0
0068dd6b5409c1893b14eb125823f110	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia	0.9
0068e01959adea2331b7dcaf241cc4fd	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea	0.75
006a527d5589ce38b9da0a486faa5762	Unassigned	1.0
006a9023a78a11587384841be0b7d600	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae	0.6
006b7585c02279705ecfabe0165a3575	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Ebriacea; f__Ebriacea; g__Ebria; s__uncultured_eukaryote	0.667
006bbe1bdd692f52f527abb1fb812575	Unassigned	1.0
006bc7b2758518c1d42c56b7b9a9a525	d__Eukaryota; p__MAST-12; c__MAST-12C; o__MAST-12C; f__MAST-12C; g__MAST-12C	1.0
006c6fc16f5beed856192792cfe0bd5f	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10	1.0
